תאריך,יום,שעה (עגולה),מספר קו,שם הקו,route_id,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
05/01/2024,שישי,00:00,231,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,9486,2,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,56,30.63,00:45:00,02:06:59,82,65,-17,22.4,28.3,58601855
05/01/2024,שישי,00:00,599,מסוף רדינג/רציפים-תל אביב יפו<->הרב עובדיה יוסף/דרך מנחם בגין-פתח תקווה-20,10498,2,0,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,הרב עובדיה יוסף/דרך מנחם בגין,65,24.677,00:45:00,02:05:15,80,71,-9,18.5,20.9,58601856
05/01/2024,שישי,00:00,425,שדרות רחבעם זאבי-ראשון לציון<->מסוף עתידים-תל אביב יפו-2#,10375,2,#,אגד,אוטובוס,ראשון לציון,שדרות רחבעם זאבי,תל אביב יפו,מסוף עתידים,81,30.715,00:45:00,02:33:59,109,83,-26,16.9,22.2,58601857
05/01/2024,שישי,01:00,699,הרכבת/ראש פינה-תל אביב יפו<->ת. מרכזית נתניה-נתניה-2#,22058,2,#,מטרופולין,אוטובוס,תל אביב יפו,הרכבת/ראש פינה,נתניה,ת. מרכזית נתניה,42,31.934,01:00:00,02:03:59,64,68,4,29.9,28.2,58601866
05/01/2024,שישי,01:00,555,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1048,1,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46,18.846,01:00:00,01:56:34,57,62,5,19.8,18.2,58601867
05/01/2024,שישי,01:00,418,מסוף בית העלמין/איסוף-בת ים<->מסוף אזורי חן-תל אביב יפו-20,2949,2,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף אזורי חן,56,20.168,01:00:00,02:10:44,71,70,-1,17.0,17.3,58601870
05/01/2024,שישי,01:00,418,מסוף אזורי חן-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,2948,1,0,דן,אוטובוס,תל אביב יפו,מסוף אזורי חן,בת ים,מסוף בית העלמין/הורדה,57,19.9,01:00:00,02:09:19,69,72,3,17.3,16.6,58601871
05/01/2024,שישי,01:00,463,מסוף רדינג/רציפים-תל אביב יפו<->הרב שלמה גורן/מבטחים-גבעת שמואל-10,2950,1,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,גבעת שמואל,הרב שלמה גורן/מבטחים,60,20.743,01:00:00,02:13:59,74,65,-9,16.8,19.1,58601872
05/01/2024,שישי,01:00,466,מסוף רדינג/רציפים-תל אביב יפו<->משה סנה/אבשלום גיסין-פתח תקווה-20,2953,2,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,פתח תקווה,משה סנה/אבשלום גיסין,58,22.981,01:00:00,02:18:15,78,73,-5,17.7,18.9,58601873
05/01/2024,שישי,01:00,489,מסוף רדינג/רציפים-תל אביב יפו<->המנור/הרוקמים-חולון-2#,13763,2,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,חולון,המנור/הרוקמים,39,13.907,01:00:00,01:55:59,56,58,2,14.9,14.4,58601875
05/01/2024,שישי,01:00,230,מסוף כרמלית/הכרמל-תל אביב יפו<->איזור התעשיה כפר סבא-כפר סבא-2#,7728,2,#,מטרופולין,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,כפר סבא,איזור התעשיה כפר סבא,59,30.255,01:00:00,02:36:31,97,69,-28,18.7,26.3,58601876
05/01/2024,שישי,01:00,502,מסוף רדינג/רציפים-תל אביב יפו<->מסוף שוהם-שוהם-20,13618,2,0,קווים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,שוהם,מסוף שוהם,33,27.16,01:00:00,01:56:26,56,53,-3,29.1,30.7,58601880
05/01/2024,שישי,01:00,480,ממילא/קריב-ירושלים<->מסוף רדינג/הורדה-תל אביב יפו-3ק,7034,3,ק,אגד,אוטובוס,ירושלים,ממילא/קריב,תל אביב יפו,מסוף רדינג/הורדה,18,60.046,01:00:00,02:16:59,77,70,-7,46.8,51.5,58601886
05/01/2024,שישי,01:00,480,מסוף רדינג/רציפים-תל אביב יפו<->ממילא/קריב-ירושלים-1ק,7022,1,ק,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,ירושלים,ממילא/קריב,19,60.628,01:00:00,02:19:59,80,88,8,45.5,41.3,58601887
05/01/2024,שישי,01:00,273,מסוף רדינג/רציפים-תל אביב יפו<->בית עלמין/שדרות בן גוריון-גדרה-1#,3529,1,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,גדרה,בית עלמין/שדרות בן גוריון,99,45.377,01:00:00,03:08:59,129,101,-28,21.1,27.0,58601889
05/01/2024,שישי,01:00,4,מסוף הטייסים-תל אביב יפו<->מסוף רדינג/הורדה-תל אביב יפו-20,2256,2,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,מסוף רדינג/הורדה,34,10.239,01:00:00,01:36:34,37,36,-1,16.6,17.1,58601890
05/01/2024,שישי,01:00,333,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הריביירה-אשדוד-2#,95,2,#,אלקטרה אפיקים,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,אשדוד,מסוף הריביירה,65,53.851,01:00:00,02:56:36,117,84,-33,27.6,38.5,58601891
05/01/2024,שישי,01:00,566,הרכבת/סלומון-תל אביב יפו<->בית העלמין-ראש העין-20,9724,2,0,אלקטרה אפיקים,אוטובוס,תל אביב יפו,הרכבת/סלומון,ראש העין,בית העלמין,69,42.242,01:00:00,02:39:19,99,80,-19,25.6,31.7,58601892
