,תאריך,יום,שעה (עגולה),מספר קו,שם הקו,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
8943,06/01/2024,שבת,18:00,833,דליה/כליל החורש-נוף הגליל<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-1#,1.0,#,נסיעות ותיירות,אוטובוס,נוף הגליל,דליה/כליל החורש,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,29.0,99.341,18:00:00,20:07:46,128,119.0,-9.0,46.6,50.1,58667308
68355,09/01/2024,שלישי,21:00,66,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.464,21:25:00,22:14:06,49,58.0,9.0,18.9,16.0,59020528
104864,11/01/2024,חמישי,18:00,6א,מסוף עתידים-תל אביב יפו<->ת. רכבת אוניברסיטה/איסוף-תל אביב יפו-11,1.0,1,מטרופולין,אוטובוס,תל אביב יפו,מסוף עתידים,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,44.0,13.047,18:20:00,19:08:53,49,44.0,-5.0,16.0,17.8,59237338
20351,08/01/2024,שני,11:00,25,מסוף אונברסיטת ת''א-תל אביב יפו<->חניון אגד/דן שומרון-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף אונברסיטת ת''א,חולון,חניון אגד/דן שומרון,62.0,20.05,11:20:00,12:28:59,69,98.0,29.0,17.4,12.3,58734639
76415,10/01/2024,רביעי,09:00,205,מסוף עתידים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-20,2.0,0,מטרופולין,אוטובוס,תל אביב יפו,מסוף עתידים,יהוד מונוסון,מסוף יהוד/הורדה,32.0,15.934,09:40:00,10:14:59,35,58.0,23.0,27.3,16.5,59065883
36611,08/01/2024,שני,08:00,704,ת. מרכזית חדרה-חדרה<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-2ז,2.0,ז,אגד,אוטובוס,חדרה,ת. מרכזית חדרה,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,19.0,43.774,08:30:00,09:25:06,55,58.0,3.0,47.8,45.3,58830846
39252,08/01/2024,שני,11:00,44,משרד הרישוי/הלוחמים-חולון<->מסוף עתידים-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,מסוף עתידים,51.0,19.522,11:00:00,12:01:01,61,91.0,30.0,19.2,12.9,58846325
52905,09/01/2024,שלישי,05:00,125,ת.רק''ל הקוממיות/דרך בגין-בת ים<->קריית חינוך-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,ת.רק''ל הקוממיות/דרך בגין,תל אביב יפו,קריית חינוך,57.0,19.918,05:57:00,07:03:38,67,80.0,13.0,17.8,14.9,58927448
83058,10/01/2024,רביעי,15:00,2,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו<->משמר הירדן/טורקוב-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,תל אביב יפו,משמר הירדן/טורקוב,51.0,17.727,15:35:00,16:33:59,59,87.0,28.0,18.0,12.2,59105730
49375,08/01/2024,שני,22:00,18,מסוף בית העלמין/איסוף-בת ים<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,42.0,13.175,22:20:00,23:05:56,46,39.0,-7.0,17.2,20.3,58908565
47428,08/01/2024,שני,18:00,201,יצחק אלחנן/הכובשים-תל אביב יפו<->ת. מרכזית רחובות/רציפים-רחובות-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,יצחק אלחנן/הכובשים,רחובות,ת. מרכזית רחובות/רציפים,54.0,25.856,18:50:00,19:57:30,68,59.0,-9.0,22.8,26.3,58897121
68942,10/01/2024,רביעי,03:00,189,מסוף קריית שרת-חולון<->מסוף עתידים-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,מסוף קריית שרת,תל אביב יפו,מסוף עתידים,56.0,21.341,03:15:00,04:22:53,68,57.0,-11.0,18.8,22.5,59023535
32539,08/01/2024,שני,05:00,238,דרך מנחם בגין/קופת חולים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,דרך מנחם בגין/קופת חולים,תל אביב יפו,מסוף כרמלית/הורדה,48.0,19.957,05:00:00,05:59:16,59,94.0,35.0,20.3,12.7,58806851
64404,09/01/2024,שלישי,16:00,500,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->מסוף שוהם-שוהם-20,2.0,0,קווים,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,שוהם,מסוף שוהם,32.0,27.594,16:07:00,16:55:06,48,70.0,22.0,34.5,23.7,58995692
93074,11/01/2024,חמישי,07:00,289,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->חניון תמנע/תמנע-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,חולון,חניון תמנע/תמנע,59.0,21.145,07:20:00,08:31:59,72,89.0,17.0,17.6,14.3,59164766
51917,09/01/2024,שלישי,05:00,276,המלך חסן השני/כביש 40-קרית עקרון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,קרית עקרון,המלך חסן השני/כביש 40,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,39.0,30.87,05:00:00,05:56:29,56,85.0,29.0,33.1,21.8,58921465
24528,08/01/2024,שני,14:00,194,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. רכבת הראשונים-ראשון לציון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,ראשון לציון,ת. רכבת הראשונים,27.0,21.257,14:58:00,15:43:59,46,69.0,23.0,27.7,18.5,58760081
14790,08/01/2024,שני,06:00,405,ת. מרכזית ירושלים קומה 3/רציפים-ירושלים<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-3#,3.0,#,אגד,אוטובוס,ירושלים,ת. מרכזית ירושלים קומה 3/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,4.0,51.238,06:20:00,07:08:59,49,66.0,17.0,62.7,46.6,58702173
28186,08/01/2024,שני,18:00,56,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1.0,0,מטרופולין,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46.0,19.06,18:40:00,19:36:59,57,75.0,18.0,20.1,15.2,58783532
55375,09/01/2024,שלישי,08:00,19,מסוף אבי האסירים-ראשון לציון<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,ראשון לציון,מסוף אבי האסירים,תל אביב יפו,מסוף כרמלית/הורדה,46.0,17.556,08:04:00,09:02:59,59,79.0,20.0,17.9,13.3,58942074
7727,05/01/2024,שישי,13:00,14,משרד הרישוי/הלוחמים-חולון<->קאנטרי דקל-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,קאנטרי דקל,39.0,11.373,13:00:00,13:44:59,45,67.0,22.0,15.2,10.2,58653274
2029,05/01/2024,שישי,05:00,142,מסוף עתידים-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף עתידים,בת ים,מסוף בית העלמין/הורדה,54.0,18.168,05:55:00,06:54:36,60,77.0,17.0,18.2,14.2,58614298
61523,09/01/2024,שלישי,13:00,18,ת.רכבת תל אביב - סבידור/רציפים C-תל אביב יפו<->מסוף בית העלמין/הורדה-בת ים-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת.רכבת תל אביב - סבידור/רציפים C,בת ים,מסוף בית העלמין/הורדה,44.0,13.55,13:32:00,14:16:40,45,80.0,35.0,18.1,10.2,58978028
58623,09/01/2024,שלישי,10:00,89,מסוף קריית שרת-חולון<->משמר הירדן/טורקוב-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,מסוף קריית שרת,תל אביב יפו,משמר הירדן/טורקוב,49.0,19.583,10:40:00,11:38:59,59,62.0,3.0,19.9,19.0,58960051
15039,08/01/2024,שני,06:00,168,מסוף קרית אונו-קרית אונו<->מסוף כרמלית/הכרמל-תל אביב יפו-20,2.0,0,מטרופולין,אוטובוס,קרית אונו,מסוף קרית אונו,תל אביב יפו,מסוף כרמלית/הכרמל,37.0,14.466,06:30:00,07:12:59,43,89.0,46.0,20.2,9.8,58703583
66787,09/01/2024,שלישי,18:00,23,מסוף כורזין-גבעתיים<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,גבעתיים,מסוף כורזין,תל אביב יפו,מסוף כרמלית/הורדה,22.0,7.32,18:58:00,19:29:59,32,35.0,3.0,13.7,12.5,59011177
87447,10/01/2024,רביעי,21:00,71,מסוף קניון הזהב-ראשון לציון<->קריית חינוך-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,ראשון לציון,מסוף קניון הזהב,תל אביב יפו,קריית חינוך,45.0,19.688,21:00:00,21:55:59,56,58.0,2.0,21.1,20.4,59133495
16421,07/01/2024,ראשון,07:00,340,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->הכוהנים/התאנה-בני עי''ש-2#,2.0,#,אלקטרה אפיקים,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,בני עי''ש,הכוהנים/התאנה,33.0,47.59,07:45:00,08:50:19,65,70.0,5.0,43.9,40.8,58711809
98708,11/01/2024,חמישי,12:00,45,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->איצטדיון וינטר-רמת גן-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,רמת גן,איצטדיון וינטר,34.0,11.963,12:24:00,13:02:51,39,64.0,25.0,18.4,11.2,59198524
106794,11/01/2024,חמישי,21:00,89,משמר הירדן/טורקוב-תל אביב יפו<->שדרות ירושלים/מפרץ שלמה-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,משמר הירדן/טורקוב,חולון,שדרות ירושלים/מפרץ שלמה,50.0,19.863,21:10:00,22:11:59,62,70.0,8.0,19.2,17.0,59249196
74104,10/01/2024,רביעי,07:00,45,ת. רכבת אוניברסיטה/איסוף-תל אביב יפו<->איצטדיון וינטר-רמת גן-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת. רכבת אוניברסיטה/איסוף,רמת גן,איצטדיון וינטר,34.0,11.963,07:35:00,08:13:51,39,62.0,23.0,18.4,11.6,59052531
16222,08/01/2024,שני,07:00,605,ת. מרכזית נתניה/רציפים-נתניה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,נתניה,ת. מרכזית נתניה/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,33.0,31.636,07:30:00,08:29:29,59,65.0,6.0,32.2,29.2,58710602
52026,09/01/2024,שלישי,05:00,531,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->קרית הספורט/וייצמן-רעננה-2#,2.0,#,מטרופולין,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,רעננה,קרית הספורט/וייצמן,41.0,17.484,05:10:00,06:04:59,55,83.0,28.0,19.1,12.6,58922120
18222,08/01/2024,שני,09:00,68,מסוף קרית אונו-קרית אונו<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,2.0,0,מטרופולין,אוטובוס,קרית אונו,מסוף קרית אונו,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,39.0,18.759,09:24:00,10:13:58,50,74.0,24.0,22.5,15.2,58722082
11968,08/01/2024,שני,04:00,205,מסוף עתידים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-20,2.0,0,מטרופולין,אוטובוס,תל אביב יפו,מסוף עתידים,יהוד מונוסון,מסוף יהוד/הורדה,32.0,15.934,04:15:00,04:49:59,35,48.0,13.0,27.3,19.9,58686341
83395,10/01/2024,רביעי,15:00,39,מסוף רדינג/רציפים-תל אביב יפו<->מסוף עמידר-רמת גן-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,רמת גן,מסוף עמידר,37.0,11.944,15:55:00,16:36:59,42,80.0,38.0,17.1,9.0,59107845
70279,10/01/2024,רביעי,04:00,567,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->תחנה מרכזית כפ''ס/הורדה-כפר סבא-2#,2.0,#,מטרופולין,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,כפר סבא,תחנה מרכזית כפ''ס/הורדה,26.0,21.012,04:32:00,05:12:58,41,53.0,12.0,30.7,23.8,59029978
35302,08/01/2024,שני,07:00,11,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף אונברסיטת ת''א,תל אביב יפו,מסוף הטייסים,28.0,9.579,07:20:00,07:51:59,32,47.0,15.0,18.0,12.2,58823300
42764,08/01/2024,שני,14:00,411,ת.מרכזית תל אביב קומה 6/רציפים-תל אביב יפו<->שד. יהודה בן זאב/דוד רזיאל-בית שמש-20,2.0,0,בית שמש אקספרס,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 6/רציפים,בית שמש,שד. יהודה בן זאב/דוד רזיאל,57.0,51.357,14:00:00,15:14:53,75,143.0,68.0,41.1,21.5,58867070
89832,11/01/2024,חמישי,04:00,63,מסוף אלוף שדה-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,מסוף אלוף שדה,תל אביב יפו,מסוף כרמלית/הורדה,33.0,11.318,04:41:00,05:21:59,41,57.0,16.0,16.6,11.9,59145573
67547,09/01/2024,שלישי,20:00,96,ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו<->אזור מר. שפינוזה/פלמח-אזור-2#,2.0,#,אגד,אוטובוס,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,אזור,אזור מר. שפינוזה/פלמח,25.0,11.676,20:00:00,20:28:59,29,37.0,8.0,24.2,18.9,59015723
75297,10/01/2024,רביעי,08:00,74,מסוף רדינג/רציפים-תל אביב יפו<->ת. רכבת הראשונים-ראשון לציון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,ראשון לציון,ת. רכבת הראשונים,38.0,19.805,08:40:00,09:29:59,50,71.0,21.0,23.8,16.7,59059409
54906,09/01/2024,שלישי,07:00,289,חניון תמנע-חולון<->ת. רכבת אוניברסיטה/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון תמנע,תל אביב יפו,ת. רכבת אוניברסיטה/הורדה,54.0,20.539,07:40:00,08:47:43,68,85.0,17.0,18.1,14.5,58939393
93855,11/01/2024,חמישי,08:00,168,מסוף קרית אונו-קרית אונו<->מסוף כרמלית/הכרמל-תל אביב יפו-20,2.0,0,מטרופולין,אוטובוס,קרית אונו,מסוף קרית אונו,תל אביב יפו,מסוף כרמלית/הכרמל,37.0,14.466,08:00:00,08:42:59,43,78.0,35.0,20.2,11.1,59169389
36314,08/01/2024,שני,08:00,274,כביש 40/גבעת ברנר-קרית עקרון<->קלצ'קין-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,קרית עקרון,כביש 40/גבעת ברנר,תל אביב יפו,קלצ'קין,49.0,32.118,08:15:00,09:26:48,72,94.0,22.0,26.8,20.5,58829186
37163,08/01/2024,שני,09:00,20,בית חולים בית רבקה-פתח תקווה<->מסוף אזורי חן-תל אביב יפו-10,1.0,0,אלקטרה אפיקים,אוטובוס,פתח תקווה,בית חולים בית רבקה,תל אביב יפו,מסוף אזורי חן,55.0,19.552,09:00:00,10:02:59,63,81.0,18.0,18.6,14.5,58833898
24505,08/01/2024,שני,14:00,89,משמר הירדן/טורקוב-תל אביב יפו<->שדרות ירושלים/מפרץ שלמה-חולון-10,1.0,0,דן,אוטובוס,תל אביב יפו,משמר הירדן/טורקוב,חולון,שדרות ירושלים/מפרץ שלמה,50.0,19.863,14:55:00,15:56:59,62,116.0,54.0,19.2,10.3,58759941
23491,08/01/2024,שני,14:00,280,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. מרכזית אשדוד-אשדוד-2#,2.0,#,אלקטרה אפיקים,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,אשדוד,ת. מרכזית אשדוד,19.0,38.465,14:00:00,14:48:20,48,79.0,31.0,48.1,29.2,58753643
24080,08/01/2024,שני,14:00,506,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף שוהם-שוהם-20,2.0,0,קווים,אוטובוס,תל אביב יפו,מסוף אונברסיטת ת''א,שוהם,מסוף שוהם,39.0,32.134,14:31:00,15:33:43,63,81.0,18.0,30.6,23.8,58757361
12187,08/01/2024,שני,04:00,116,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף אונברסיטת ת''א,קרית אונו,מסוף קרית אונו,32.0,17.276,04:25:00,05:11:53,47,54.0,7.0,22.1,19.2,58687412
36778,08/01/2024,שני,08:00,704,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->ת. מרכזית חדרה-חדרה-1ז,1.0,ז,אגד,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,חדרה,ת. מרכזית חדרה,17.0,43.457,08:40:00,09:28:40,49,47.0,-2.0,53.2,55.5,58831812
4080,05/01/2024,שישי,08:00,20,בית חולים בית רבקה-פתח תקווה<->מסוף אזורי חן-תל אביב יפו-10,1.0,0,אלקטרה אפיקים,אוטובוס,פתח תקווה,בית חולים בית רבקה,תל אביב יפו,מסוף אזורי חן,55.0,19.552,08:20:00,09:22:59,63,86.0,23.0,18.6,13.6,58627958
5767,05/01/2024,שישי,10:00,17,בי''ח וולפסון-חולון<->יוסף לוי/הכובשים-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,בי''ח וולפסון,תל אביב יפו,יוסף לוי/הכובשים,23.0,6.333,10:20:00,10:45:36,26,30.0,4.0,14.6,12.7,58639738
88248,11/01/2024,חמישי,03:00,44,משרד הרישוי/הלוחמים-חולון<->מסוף עתידים-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,משרד הרישוי/הלוחמים,תל אביב יפו,מסוף עתידים,51.0,19.522,03:15:00,04:16:01,61,61.0,0.0,19.2,19.2,59137817
58355,09/01/2024,שלישי,10:00,826,חניון אגד/העבודה-נוף הגליל<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,נוף הגליל,חניון אגד/העבודה,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,80.0,114.321,10:30:00,12:54:35,145,122.0,-23.0,47.3,56.2,58958565
64692,09/01/2024,שלישי,16:00,54,מסוף כרמלית-תל אביב יפו<->מסוף עתידים-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף כרמלית,תל אביב יפו,מסוף עתידים,44.0,14.351,16:27:00,17:15:58,49,70.0,21.0,17.6,12.3,58997525
7757,05/01/2024,שישי,13:00,11,מסוף אונברסיטת ת''א-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף אונברסיטת ת''א,תל אביב יפו,מסוף הטייסים,28.0,9.579,13:00:00,13:31:59,32,34.0,2.0,18.0,16.9,58653429
50896,09/01/2024,שלישי,04:00,68,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,1.0,0,מטרופולין,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,קרית אונו,מסוף קרית אונו,43.0,18.865,04:30:00,05:19:41,50,60.0,10.0,22.6,18.9,58915854
5638,05/01/2024,שישי,10:00,124,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->המוביל/טארק עבד אל חי-טירה-1#,1.0,#,מטרופולין,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,טירה,המוביל/טארק עבד אל חי,27.0,34.946,10:10:00,10:53:18,43,55.0,12.0,48.8,38.1,58638804
83411,10/01/2024,רביעי,15:00,19,מסוף כרמלית/הכרמל-תל אביב יפו<->מסוף אבי האסירים-ראשון לציון-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף כרמלית/הכרמל,ראשון לציון,מסוף אבי האסירים,41.0,16.935,15:58:00,16:54:59,57,65.0,8.0,17.8,15.6,59107973
92711,11/01/2024,חמישי,07:00,42,ת.רק''ל הקוממיות/דרך בגין-בת ים<->מסוף עתידים-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,ת.רק''ל הקוממיות/דרך בגין,תל אביב יפו,מסוף עתידים,51.0,19.392,07:00:00,08:06:59,67,101.0,34.0,17.4,11.5,59162646
20154,08/01/2024,שני,11:00,82,בית רבקה-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,בית רבקה,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.539,11:08:00,11:55:59,48,69.0,21.0,19.4,13.5,58733388
91153,11/01/2024,חמישי,05:00,56,מסוף רדינג/רציפים-תל אביב יפו<->מסוף יהוד/הורדה-יהוד מונוסון-10,1.0,0,מטרופולין,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,יהוד מונוסון,מסוף יהוד/הורדה,46.0,19.06,05:40:00,06:36:59,57,94.0,37.0,20.1,12.2,59153263
79131,10/01/2024,רביעי,12:00,4,מסוף הטייסים-תל אביב יפו<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,מסוף רדינג/הורדה,34.0,10.239,12:08:00,12:44:34,37,65.0,28.0,16.6,9.5,59082349
10791,07/01/2024,ראשון,01:00,418,מסוף בית העלמין/איסוף-בת ים<->מסוף אזורי חן-תל אביב יפו-20,2.0,0,דן,אוטובוס,בת ים,מסוף בית העלמין/איסוף,תל אביב יפו,מסוף אזורי חן,56.0,20.168,01:59:00,03:09:44,71,53.0,-18.0,17.0,22.8,58681156
99658,11/01/2024,חמישי,13:00,172,חניון תמנע-חולון<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון תמנע,תל אביב יפו,מסוף רדינג/הורדה,55.0,16.963,13:14:00,14:14:11,60,92.0,32.0,17.0,11.1,59204298
51659,09/01/2024,שלישי,05:00,64,הרב עובדיה יוסף/שלום צלח-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,אלקטרה אפיקים,אוטובוס,פתח תקווה,הרב עובדיה יוסף/שלום צלח,תל אביב יפו,מסוף כרמלית/הורדה,52.0,18.984,05:00:00,05:58:59,59,85.0,26.0,19.3,13.4,58919839
2409,05/01/2024,שישי,06:00,171,מסוף אזורי חן-תל אביב יפו<->חניון אגד/דן שומרון-חולון-1#,1.0,#,אגד,אוטובוס,תל אביב יפו,מסוף אזורי חן,חולון,חניון אגד/דן שומרון,41.0,18.291,06:20:00,07:12:59,53,71.0,18.0,20.7,15.5,58616921
25254,08/01/2024,שני,15:00,345,ת. רכבת תל אביב- סבידור/רציפים A-תל אביב יפו<->דוד בן גוריון/מבצע יונתן-קרית מלאכי-1#,1.0,#,מטרופולין,אוטובוס,תל אביב יפו,ת. רכבת תל אביב- סבידור/רציפים A,קרית מלאכי,דוד בן גוריון/מבצע יונתן,19.0,45.085,15:35:00,16:27:59,53,84.0,31.0,51.0,32.2,58764608
36665,08/01/2024,שני,08:00,172,חניון תמנע-חולון<->מסוף רדינג/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,חולון,חניון תמנע,תל אביב יפו,מסוף רדינג/הורדה,55.0,16.963,08:32:00,09:32:11,60,85.0,25.0,17.0,12.0,58831157
76406,10/01/2024,רביעי,09:00,28,מסוף גולדה/רציפים-תל אביב יפו<->מסוף קרית אונו-קרית אונו-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף גולדה/רציפים,קרית אונו,מסוף קרית אונו,47.0,14.44,09:40:00,10:24:59,45,76.0,31.0,19.3,11.4,59065823
50628,09/01/2024,שלישי,04:00,16,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->יוסף לוי/הכובשים-תל אביב יפו-20,2.0,0,דן,אוטובוס,רמת גן,בי''ח שיב''א/שדרות אהרון קציר,תל אביב יפו,יוסף לוי/הכובשים,44.0,13.285,04:16:00,05:09:54,54,51.0,-3.0,14.8,15.6,58914465
30635,08/01/2024,שני,03:00,159,גולדה מאיר/משה שרת-רמלה<->קלצ'קין-תל אביב יפו-11,1.0,1,קווים,אוטובוס,רמלה,גולדה מאיר/משה שרת,תל אביב יפו,קלצ'קין,32.0,28.106,03:30:00,04:27:59,58,61.0,3.0,29.1,27.6,58797202
56780,09/01/2024,שלישי,09:00,586,מגרש כדורגל-אריאל<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-1#,1.0,#,תנופה,אוטובוס,אריאל,מגרש כדורגל,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,30.0,47.207,09:15:00,10:27:59,73,58.0,-15.0,38.8,48.8,58949975
29370,08/01/2024,שני,20:00,14,קאנטרי דקל-תל אביב יפו<->מסוף הלוחמים/משרד הרישוי-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,קאנטרי דקל,תל אביב יפו,מסוף הלוחמים/משרד הרישוי,39.0,12.046,20:35:00,21:19:50,45,48.0,3.0,16.1,15.1,58790678
83618,10/01/2024,רביעי,16:00,173,ת. מרכזית רשל''צ/רציפים-ראשון לציון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-1#,1.0,#,אגד,אוטובוס,ראשון לציון,ת. מרכזית רשל''צ/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,37.0,18.857,16:00:00,16:49:59,50,73.0,23.0,22.6,15.5,59109311
29608,08/01/2024,שני,21:00,4,מסוף רדינג/רציפים-תל אביב יפו<->מסוף הטייסים-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,תל אביב יפו,מסוף הטייסים,33.0,10.605,21:00:00,21:36:59,37,53.0,16.0,17.2,12.0,58791984
65823,09/01/2024,שלישי,17:00,274,כביש 40/גבעת ברנר-קרית עקרון<->קלצ'קין-תל אביב יפו-2#,2.0,#,אגד,אוטובוס,קרית עקרון,כביש 40/גבעת ברנר,תל אביב יפו,קלצ'קין,49.0,32.118,17:40:00,18:51:48,72,71.0,-1.0,26.8,27.1,59004972
