,תאריך,יום,שעה (עגולה),מספר קו,שם הקו,כיוון,אלטרנטיבה,חברה (agency_name),סוג מסלול (route_type),עיר מוצא,תחנת מוצא,עיר יעד,תחנת יעד,כמות תחנות,אורך מסלול (קמ),זמן יציאה מתוכנן,זמן הגעה מתוכנן,משך מתוכנן (דק),משך בפועל (דק),הפרש (דק),מהירות מתוכננת (קמש),מהירות בפועל (קמש),מזהה SIRI
60009,09/01/2024,שלישי,12:00,650,המלכים/הגדוד העברי-נתניה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,1.0,#,מטרופולין,אוטובוס,נתניה,המלכים/הגדוד העברי,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,31.0,35.844,12:10:00,13:01:43,52,64.0,12.0,41.4,33.6,58968816
52225,09/01/2024,שלישי,05:00,11,מסוף הטייסים-תל אביב יפו<->קלצ'קין-תל אביב יפו-20,2.0,0,דן,אוטובוס,תל אביב יפו,מסוף הטייסים,תל אביב יפו,קלצ'קין,28.0,10.339,05:25:00,05:58:01,33,57.0,24.0,18.8,10.9,58923368
37290,08/01/2024,שני,09:00,23,מסוף כורזין-גבעתיים<->מסוף כרמלית/הורדה-תל אביב יפו-20,2.0,0,דן,אוטובוס,גבעתיים,מסוף כורזין,תל אביב יפו,מסוף כרמלית/הורדה,22.0,7.32,09:10:00,09:41:59,32,42.0,10.0,13.7,10.5,58834774
56948,09/01/2024,שלישי,09:00,32,מסוף עתידים-תל אביב יפו<->הרב גורן/האתרוג-גבעת שמואל-10,1.0,0,דן,אוטובוס,תל אביב יפו,מסוף עתידים,גבעת שמואל,הרב גורן/האתרוג,36.0,13.037,09:25:00,10:02:59,38,48.0,10.0,20.6,16.3,58950924
49446,08/01/2024,שני,23:00,480,מסוף רדינג/רציפים-תל אביב יפו<->ממילא/קריב-ירושלים-1ק,1.0,ק,אגד,אוטובוס,תל אביב יפו,מסוף רדינג/רציפים,ירושלים,ממילא/קריב,19.0,60.628,23:30:00,00:49:59,80,77.0,-3.0,45.5,47.2,58909078
37938,08/01/2024,שני,09:00,60,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->מסוף עמידר-רמת גן-10,1.0,0,דן,אוטובוס,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,רמת גן,מסוף עמידר,24.0,8.881,09:48:00,10:18:28,30,49.0,19.0,17.8,10.9,58838591
40716,08/01/2024,שני,12:00,2,משמר הירדן/טורקוב-תל אביב יפו<->פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב-תל אביב יפו-10,1.0,0,דן,אוטובוס,תל אביב יפו,משמר הירדן/טורקוב,תל אביב יפו,פרופ' ישעיהו ליבוביץ'/הרב יעקב טראב,51.0,17.771,12:17:00,13:16:59,60,82.0,22.0,17.8,13.0,58855401
35403,08/01/2024,שני,07:00,66,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף כרמלית/הורדה-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף כרמלית/הורדה,42.0,15.464,07:28:00,08:17:06,49,86.0,37.0,18.9,10.8,58823894
39956,08/01/2024,שני,11:00,123,הכניסה הצפונית-קלנסווה<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,2.0,#,מטרופולין,אוטובוס,קלנסווה,הכניסה הצפונית,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,48.0,42.706,11:30:00,12:34:18,64,8.0,-56.0,40.0,320.3,58850843
4051,05/01/2024,שישי,08:00,41,ת. מרכזית פ''ת/רציפים-פתח תקווה<->מסוף הלוחמים/משרד הרישוי-תל אביב יפו-10,1.0,0,דן,אוטובוס,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,מסוף הלוחמים/משרד הרישוי,60.0,24.124,08:20:00,09:25:59,66,85.0,19.0,21.9,17.0,58627764
