date,day,hour_rounded,line_num,line_name,route_id,direction,alternative,agency_name,route_type,origin_city,origin_station,destination_city,destination_station,number_of_stops,route_length_km,departure_time_planned,arrival_time_planned,duration_min_planned,duration_min_actual,duration_difference_min,speed_kmh_planned,speed_kmh_actual,SIRI_id
2024-01-05,Friday,3,51,ת. מרכזית פ''ת/רציפים-פתח תקווה<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-10,2489,1,0,Dan,bus,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,39,14.477,03:00:00,03:45:26,45,42.0,-3.0,19.3,20.7,58602077
2024-01-05,Friday,3,51,ת.מרכזית תל אביב קומה 7/רציפים-תל אביב יפו<->ת. מרכזית פ''ת/הורדה-פתח תקווה-20,2492,2,0,Dan,bus,תל אביב יפו,ת.מרכזית תל אביב קומה 7/רציפים,פתח תקווה,ת. מרכזית פ''ת/הורדה,44,15.024,03:00:00,03:46:59,47,54.0,7.0,19.2,16.7,58602078
2024-01-05,Friday,3,16,בי''ח שיב''א/שדרות אהרון קציר-רמת גן<->יוסף לוי/הכובשים-תל אביב יפו-20,2324,2,0,Dan,bus,רמת גן,בי''ח שיב''א/שדרות אהרון קציר,תל אביב יפו,יוסף לוי/הכובשים,44,13.285,03:00:00,03:53:54,54,40.0,-14.0,14.8,19.9,58602079
2024-01-05,Friday,3,17,בי''ח וולפסון-חולון<->יוסף לוי/הכובשים-תל אביב יפו-20,2327,2,0,Dan,bus,חולון,בי''ח וולפסון,תל אביב יפו,יוסף לוי/הכובשים,23,6.333,03:00:00,03:25:36,26,25.0,-1.0,14.6,15.2,58602080
2024-01-05,Friday,3,172,חניון תמנע-חולון<->מסוף רדינג/הורדה-תל אביב יפו-20,9809,2,0,Dan,bus,חולון,חניון תמנע,תל אביב יפו,מסוף רדינג/הורדה,55,16.963,03:00:00,04:00:11,60,65.0,5.0,17.0,15.7,58602083
2024-01-05,Friday,3,126,חניון חולון/תחנת מוצא-חולון<->מסוף אזורי חן-תל אביב יפו-1#,9866,1,#,Metropolin,bus,חולון,חניון חולון/תחנת מוצא,תל אביב יפו,מסוף אזורי חן,52,18.813,03:00:00,04:00:59,61,71.0,10.0,18.5,15.9,58602084
2024-01-05,Friday,3,53,קהילות יעקב/רבי יוסף צבי רימון-בני ברק<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,25958,2,0,Dan,bus,בני ברק,קהילות יעקב/רבי יוסף צבי רימון,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,26,9.682,03:00:00,03:32:33,33,40.0,7.0,17.6,14.5,58602085
2024-01-05,Friday,3,125,ת.רק''ל הקוממיות/דרך בגין-בת ים<->קריית חינוך-תל אביב יפו-20,2963,2,0,Dan,bus,בת ים,ת.רק''ל הקוממיות/דרך בגין,תל אביב יפו,קריית חינוך,57,19.918,03:00:00,04:06:38,67,58.0,-9.0,17.8,20.6,58602086
2024-01-05,Friday,3,138,ת. מרכזית פ''ת/רציפים-פתח תקווה<->ת. רכבת תל אביב - סבידור/הורדה-תל אביב יפו-10,20849,1,0,Dan,bus,פתח תקווה,ת. מרכזית פ''ת/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/הורדה,32,12.258,03:00:00,03:38:59,39,37.0,-2.0,18.9,19.9,58602087
2024-01-05,Friday,3,501,מסוף רעננה/רציפים-רעננה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,5189,1,#,Metropolin,bus,רעננה,מסוף רעננה/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,44,22.294,03:00:00,03:56:59,57,58.0,1.0,23.5,23.1,58602093
2024-01-05,Friday,3,83,ת. מרכזית רשל''צ/רציפים-ראשון לציון<->ת. רכבת תל אביב - סבידור/חנה וסע-תל אביב יפו-2#,3173,2,#,Egged,bus,ראשון לציון,ת. מרכזית רשל''צ/רציפים,תל אביב יפו,ת. רכבת תל אביב - סבידור/חנה וסע,57,20.505,03:00:00,04:07:13,67,66.0,-1.0,18.4,18.6,58602101
2024-01-05,Friday,3,4,מסוף הטייסים-תל אביב יפו<->מסוף רדינג/הורדה-תל אביב יפו-20,2256,2,0,Dan,bus,תל אביב יפו,מסוף הטייסים,תל אביב יפו,מסוף רדינג/הורדה,34,10.239,03:00:00,03:36:34,37,40.0,3.0,16.6,15.4,58602110
2024-01-05,Friday,3,201,ת. מרכזית רחובות/רציפים-רחובות<->יוסף לוי/הכובשים-תל אביב יפו-2#,3356,2,#,Egged,bus,רחובות,ת. מרכזית רחובות/רציפים,תל אביב יפו,יוסף לוי/הכובשים,55,25.904,03:00:00,04:09:44,70,67.0,-3.0,22.2,23.2,58602118
2024-01-05,Friday,3,364,מסוף משה ארנס/רציפים-פתח תקווה<->מסוף גולדה/הורדה-תל אביב יפו-10,27998,1,0,Electra_Afikim,bus,פתח תקווה,מסוף משה ארנס/רציפים,תל אביב יפו,מסוף גולדה/הורדה,42,17.63,03:00:00,03:51:59,52,44.0,-8.0,20.3,24.0,58602124
2024-01-05,Friday,3,312,ת. מרכזית אשדוד/רציפים-אשדוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,58,1,#,Electra_Afikim,bus,אשדוד,ת. מרכזית אשדוד/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,24,38.376,03:00:00,03:55:59,56,51.0,-5.0,41.1,45.1,58602127
2024-01-05,Friday,3,20,מסוף אזורי חן-תל אביב יפו<->בית רבקה-פתח תקווה-20,23822,2,0,Electra_Afikim,bus,תל אביב יפו,מסוף אזורי חן,פתח תקווה,בית רבקה,58,20.419,03:00:00,04:03:16,63,71.0,8.0,19.4,17.3,58602136
2024-01-05,Friday,3,171,חניון חולון/תחנת מוצא-חולון<->מסוף אזורי חן-תל אביב יפו-2#,9873,2,#,Egged,bus,חולון,חניון חולון/תחנת מוצא,תל אביב יפו,מסוף אזורי חן,39,17.879,03:00:00,03:46:59,47,55.0,8.0,22.8,19.5,58602140
2024-01-05,Friday,3,461,ת. מרכזית לוד/רציפים-לוד<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-10,11941,1,0,Kavim,bus,לוד,ת. מרכזית לוד/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,40,23.12,03:00:00,03:46:59,47,48.0,1.0,29.5,28.9,58602164
2024-01-05,Friday,3,605,ת. מרכזית נתניה/רציפים-נתניה<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-1#,711,1,#,Metropolin,bus,נתניה,ת. מרכזית נתניה/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,33,31.636,03:00:00,03:59:29,59,52.0,-7.0,32.2,36.5,58602165
2024-01-05,Friday,3,63,מסוף אלוף שדה-רמת גן<->מסוף כרמלית/הורדה-תל אביב יפו-20,2519,2,0,Dan,bus,רמת גן,מסוף אלוף שדה,תל אביב יפו,מסוף כרמלית/הורדה,33,11.318,03:05:00,03:45:59,41,46.0,5.0,16.6,14.8,58602171
2024-01-05,Friday,3,393,ת. מרכזית אילת/רציפים-אילת<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,7444,2,#,Egged,bus,אילת,ת. מרכזית אילת/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,48,320.137,03:00:00,08:26:31,327,34.0,-293.0,58.7,564.9,58602175
2024-01-05,Friday,3,393,ת. מרכזית אילת/רציפים-אילת<->ת.מרכזית תל אביב קומה 6/הורדה-תל אביב יפו-2#,7444,2,#,Egged,bus,אילת,ת. מרכזית אילת/רציפים,תל אביב יפו,ת.מרכזית תל אביב קומה 6/הורדה,48,320.137,03:00:00,08:26:31,327,110.0,-217.0,58.7,174.6,58602176
2024-01-05,Friday,3,37,הרצל / טרומפלדור-יהוד מונוסון<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,968,2,0,Kavim,bus,יהוד מונוסון,הרצל / טרומפלדור,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,36,15.153,03:00:00,03:35:51,36,44.0,8.0,25.3,20.7,58602186
2024-01-05,Friday,3,68,מסוף קרית אונו-קרית אונו<->ת.מרכזית תל אביב קומה 7/הורדה-תל אביב יפו-20,989,2,0,Metropolin,bus,קרית אונו,מסוף קרית אונו,תל אביב יפו,ת.מרכזית תל אביב קומה 7/הורדה,39,18.759,03:00:00,03:49:58,50,38.0,-12.0,22.5,29.6,58602188
2024-01-05,Friday,3,25,חניון אגד/חורשת היובל-חולון<->קלצ'קין-תל אביב יפו-20,2379,2,0,Dan,bus,חולון,חניון אגד/חורשת היובל,תל אביב יפו,קלצ'קין,59,20.087,03:00:00,04:08:38,69,59.0,-10.0,17.5,20.4,58602191
2024-01-05,Friday,3,26,חניון חולון/תחנת מוצא-חולון<->קריית חינוך-תל אביב יפו-1#,9842,1,#,Metropolin,bus,חולון,חניון חולון/תחנת מוצא,תל אביב יפו,קריית חינוך,43,19.254,03:00:00,04:00:59,61,58.0,-3.0,18.9,19.9,58602193
2024-01-05,Friday,3,71,מסוף קניון הזהב-ראשון לציון<->קריית חינוך-תל אביב יפו-2#,9847,2,#,Egged,bus,ראשון לציון,מסוף קניון הזהב,תל אביב יפו,קריית חינוך,45,19.688,03:00:00,03:55:59,56,48.0,-8.0,21.1,24.6,58602194
